"","concentration","predator_presence"
"1",11.2404818079818,FALSE
"2",10.2942771758925,FALSE
"3",232,TRUE
"4",10.6264995197898,FALSE
"5",10.3232060086483,FALSE
"6",8.51496741915458,FALSE
"7",11.5927259215715,FALSE
"8",9.86027472512673,FALSE
"9",9.72212364759664,FALSE
"10",9.40098021146271,FALSE
"11",9.83154789746337,FALSE
"12",8.92391078400211,FALSE
"13",9.30710259596251,FALSE
"14",10.6599962881025,FALSE
"15",8.49093716113282,FALSE
"16",9.12707181269382,FALSE
"17",10.3603147204712,FALSE
"18",12.1230065524227,FALSE
"19",8.90973742607403,FALSE
"20",12.4408413505012,FALSE
"21",10.4895720017947,FALSE
"22",11.0240547362335,FALSE
"23",10.3831417358005,FALSE
"24",9.79137002661125,FALSE
"25",8.99437311826035,FALSE
"26",10.5461835708948,FALSE
"27",8.7322567892324,FALSE
"28",9.21778349387305,FALSE
"29",7.17629725544422,FALSE
"30",11.1102881967521,FALSE
"31",10.3768191619619,FALSE
"32",9.72152845371105,FALSE
"33",10.2633001020187,FALSE
"34",9.77711785093865,FALSE
"35",9.87957258075856,FALSE
"36",9.50956553406542,FALSE
"37",12.9975907764138,FALSE
"38",12.2524934367535,FALSE
"39",12.003736698721,FALSE
"40",9.78515191354981,FALSE
"41",9.19269198153022,FALSE
"42",11.1570523237741,FALSE
"43",10.3358880493965,FALSE
"44",10.9417627063016,FALSE
"45",283,TRUE
"46",10.5263747291948,FALSE
"47",9.8411711344051,FALSE
"48",10.3642207700963,FALSE
"49",293,TRUE
"50",9.43252582647138,FALSE
"51",11.4508405150224,FALSE
"52",11.0872949283659,FALSE
"53",9.52377773739102,FALSE
"54",9.58372958231083,FALSE
"55",10.7433160680871,FALSE
"56",241,TRUE
"57",10.0934493198324,FALSE
"58",9.4154848787325,FALSE
"59",10.1126325945916,FALSE
"60",9.59640540645403,FALSE
"61",9.40290098608804,FALSE
"62",7.45794759691887,FALSE
"63",9.41381188022134,FALSE
"64",9.14492361593415,FALSE
"65",9.20363061253722,FALSE
"66",10.5444054192468,FALSE
